History
Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Gain
11.01.2023 14:15:01,11.01.2023 15:14:02,NZDCAD,Buy,0.05,0.75201,0.85300,0.85196,0.85303,10.7,3.85,00:00:59:01,0.38%
11.01.2023 14:30:01,11.01.2023 15:11:20,AUDCAD,Buy,0.05,0.82434,0.92538,0.92433,0.92540,10.7,3.84,00:00:41:19,0.38%
10.01.2023 15:00:00,10.01.2023 16:00:43,AUDCAD,Buy,0.05,0.82094,0.92200,0.92095,0.92200,10.5,3.78,00:01:00:43,0.38%
09.01.2023 01:45:00,09.01.2023 12:56:11,AUDCAD,Sell,0.05,1.02631,0.92524,0.92629,0.92519,11.0,3.97,00:11:11:11,0.40%
26.12.2022 13:18:50,,,Withdrawal,0,0.00000,0.00000,0.00000,0.00000,0.0,-38.32,00:00:00:00,-
22.12.2022 16:04:15,22.12.2022 16:09:37,NZDCAD,Buy,0.05,0.75233,0.85334,0.85234,0.85287,5.3,1.82,00:00:05:22,0.18%
21.12.2022 14:30:00,22.12.2022 16:04:14,AUDCAD,Sell,0.05,1.01138,0.91282,0.91139,0.91282,-14.3,-5.60,01:01:34:14,-0.54%
22.12.2022 03:30:01,22.12.2022 16:04:14,AUDCAD,Sell,0.05,1.01138,0.91282,0.91538,0.91282,25.6,9.26,00:12:34:13,0.90%
21.12.2022 20:15:00,21.12.2022 20:52:29,NZDCAD,Buy,0.05,0.75475,0.85576,0.85472,0.85576,10.4,3.69,00:00:37:29,0.36%
21.12.2022 10:45:01,21.12.2022 11:51:26,NZDCAD,Buy,0.05,0.75651,0.85762,0.85658,0.85759,10.1,3.58,00:01:06:25,0.35%
20.12.2022 15:00:00,20.12.2022 16:27:13,AUDCAD,Buy,0.05,0.80663,0.90772,0.90668,0.90754,8.6,3.02,00:01:27:13,0.30%
20.12.2022 15:15:01,20.12.2022 15:38:34,NZDCAD,Buy,0.05,0.75950,0.86056,0.85952,0.86060,10.8,3.83,00:00:23:33,0.38%
20.12.2022 07:15:00,20.12.2022 07:47:45,AUDCAD,Buy,0.05,0.80862,0.90969,0.90865,0.90970,10.5,3.71,00:00:32:45,0.37%
